(close-1885.95)
-28.95
-31.95
-36.95
-38.95
-35.95
-27.95
-29.95
-27.95
-20.95
-20.95
-9.95000000000005
-2.95000000000005
14.05
12.05
19.05
13.05
22.05
55.05
85.05
93.05
